,TABELA_DESTINO,TABELA_ORIGEM,TABELA_ORIGEM_SISTEMA,SISTEMA,ASSUNTO
14495,RL_CCC_CRTCONSIGCRTCALC,STG_CCC_C257_CRTCONSIGCRTCALC,CCC_C257_CARTAOCONSIGCARTCALC,CONSIGCARD,CARTOES
14509,RL_CCC_CRTCONSIGCRTCALC,,CCC_C257_CARTAOCONSIGCARTCALC,CONSIGCARD,CARTOES
14519,RL_JUR_TBL_TRA_CADASTRADOS,RL_JUR_TBL_RELATADVOGADOPARTE,RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FASEPROCESSUAL;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
14569,RL_INV_EVENTOS,,EVENTOS,AUTBANK,CONTA CORRENTE / INVESTIMENTOS
14594,RL_CGO_ORIGEM_6,STG_CGO_TORG6,TORG6,PANCRED,PANCRED
14599,RL_CGO_ORIGEM_6,,TORG6,PANCRED,PANCRED
14601,RL_CGO_EXTR_PORT_INT,STG_CGO_ETOPERINT,ETOPERINT,PANCRED,PANCRED
14612,RL_CGO_EXTR_PORT_INT,,ETOPERINT,PANCRED,PANCRED
14613,RL_CGO_EXTR_PORT_ORG,STG_CGO_ETOPERORG,ETOPERORG,PANCRED,PANCRED
14620,RL_CGO_EXTR_PORT_ORG,,ETOPERORG,PANCRED,PANCRED
14621,RL_CGO_PORT_INT,STG_CGO_CTOPERINT,CTOPERINT,PANCRED,PANCRED
14632,RL_INV_OPERACOES,,OPERACOES,AUTBANK,CONTA CORRENTE / INVESTIMENTOS
14646,RL_INV_MOVTOIDENT_AB_CC,,MOVTOIDENT,AUTBANK,CONTA CORRENTE / INVESTIMENTOS
